Item ID,Short Title,Title,Year,Abstract,TAS Human Coding,New Column
130138211,Bangpan (2024),The Impact of Mental Health and Psychosocial Support Programmes on Children and Young People’s Mental Health in the Context of Humanitarian Emergencies in Low- and Middle-income Countries: A Systematic Review and Meta-Analysis,2024,"Humanitarian emergencies pose a significant global health challenge for children and young people’s mental and psychological health. This systematic review investigates the effectiveness of mental health and psychosocial support (MHPSS) programmes delivered to children and young people affected by humanitarian emergencies in low- and middleincome countries (LMICs). Twelve electronic databases, key websites and citation checking were undertaken. Forty-three randomised controlled trials (RCTs) published in English between January 1980 and May 2023 were included in the review. Overall, the findings suggest that cognitive behavioural therapy may improve depression symptoms in children and young people affected by humanitarian emergencies. Narrative exposure therapy may reduce feelings of guilt. However, the impact of the other MHPSS modalities across outcomes is inconsistent. In some contexts, providing psychosocial programmes involving creative activities may increase the symptoms of depression in children and young people. These findings emphasise the need for the development of MHPSS programmes that can safely and effectively address the diverse needs of children and young people living in adversarial environments.",Screen on Title & Abstract,
,,,,,EXCLUDE on population,
130312382,Abajobir (2025),The epidemiology of maternal mental health in Africa: a systematic review.,2025,"Background: Despite a growing body of evidence on maternal mental health in Africa, significant gaps remain in understanding its overall landscape, risk factors/determinants, immediate and long-term effects, accessibility to healthcare and services, and availability of practicable/effective interventions. This paper provides a thorough review of both peer-reviewed and grey literature and makes key recommendations and directions for future research and development. Methods: We systematically reviewed extant evidence using the Preferred Reporting Items for Systematic Reviews and Meta-analyses (PRISMA) 2020 guidelines. Peer-reviewed studies published in English between 2010, and June 2024 were included based on a priori criteria. The National Institutes of Health (NIH) and Critical Appraisal Skill Program (CASP) quality assessment tools were used to critically appraise the reliability, validity and overall quality of included articles. A qualitative narrative synthesis was perfomed to summarize the findings effectively. Results: A total of 206 full-text articles evaluated for eligibility and inclusion in the systematic review, predominantly observational studies with a minority employing randomized controlled trial (RCT) designs, were included, with 70%, 22%, and 8% of the articles rated as good, fair, and poor quality, respectively. Women in Africa experience a wide range of common perinatal mental disorders, including major depressive disorders and psychosis, either discretely or comorbid. Socioeconomic disadvantages and other intertwined poverty-related factors at the individual, family, social, and environmental levels are implicated in maternal mental health disorders. Currently, there is insufficient evidence regarding the short- and long-term health, development, and social impacts of maternal mental health. Addtionally, there is limited knowledge about the availability and accessibility of mental healthcare, evidence-based context-specific interventions, and healthcare-seeking behaviors of women in Africa, as well as their access to and utilization of mental health services. Conclusion: The evidence base on maternal mental health in Africa suffers from considerable variability, inconsistency, and equivocal findings resulting from heterogeneity across the studies. This restricts generalizability and the ability to draw valid conclusions. Published studies also likely underestimate the scale and health impacts of perinatal mental disorders. Evidence from these studies are rarely used to inform policies and programs. The maternal mental health ecosystem in Africa needs to be better understood. More rigorous study designs should be implemented to focus on evidence generation and the evaluation of interventions, alongside robust integration of mental health services within health systems. Policy initiatives aimed at reducing socioeconomic disparities in maternal, newborn, and child health, particularly concerning maternal mental health, must be supported by these studies.",Screen on Title & Abstract,
,,,,,INCLUDE on title & abstract,
130312397,Abebe (2025),What do Australians eat? A systematic review of dietary patterns and adverse health outcomes.,2025,"Context: A suboptimal diet is a leading factor in the current burden of chronic diseases. In Australia, dietary factors contribute to one-fifth of the chronic disease burden. Understanding the dietary patterns of Australian adults and summarizing their effects on chronic conditions are imperative for improving interventions targeting dietary behaviors. Background: This systematic review aims to summarize the dietary patterns of Australian adults derived using a posteriori and hybrid analysis methods and their associations with adverse health outcomes. Data Sources: Six databases were first searched in December 2020 and updated in August 2023. Data Extraction: Cardiometabolic health, cardiovascular mortality, cancer, pregnancy-related metabolic conditions (gestational diabetes mellitus [GDM] or hypertensive disorders during pregnancy [HDP]), mental health, and cognitive function were the main health outcomes. Data Analysis: Dietary patterns from each study were classified as either healthy or unhealthy. A narrative synthesis was used to describe the association of dietary patterns with adverse health outcomes in longitudinal studies. Fifty-nine observational studies (31 cross-sectional, 3 case-control, 22 longitudinal, and 3 combining both cross-sectional and longitudinal designs) were included, involving a total of 362 263 participants aged 18 years and older. Conclusion: Higher adherence to a healthy dietary pattern (characterized by higher consumption of dark-yellow, green leafy, cruciferous vegetables and fruits, nuts, whole grains, tomatoes, fish, and low-fat dairy) is associated with improved cardiometabolic risk factors, reduced risk of GDM and HDP, better mental health, and improved pregnancy outcomes. On the other hand, an unhealthy dietary pattern (characterized by a higher intake of processed and red meat, takeaway foods, white bread, high-fat dairy, potatoes, discretionary fat, sweet snacks, soft drinks, fat spreads, jam, and Vegemite) is linked to increased cardiometabolic risks. Overall, while healthy dietary patterns are associated with a reduced risk of several physical and mental health outcomes, unhealthy dietary patterns are linked to an increased risk in Australian adults.",Screen on Title & Abstract,
,,,,,EXCLUDE on intervention,
130312406,Balis (2025),"Burden, impacts and management practices of dysmenorrhea among female students in Ethiopia: a systematic review and meta-analysis.",2025,"Dysmenorrhea is a public health problem worldwide, and affects more than half of reproductive-age females in Ethiopia. Despite dysmenorrhea having being studied, this has not covered the impacts and management of dysmenorrhea. Therefore, this review aimed at critically appraising, synthesizing and presenting the evidence on the burden, impacts and management methods of dysmenorrhea among females in Ethiopia. International databases (SCOPUS, CINAHL, CAB Abstract, EMBASE, PubMed, Web of Science, Google and Google Scholar) and lists of references were employed to search literature in Ethiopia. The overall burden of dysmenorrhea was presented using a random-effects model for the reported proportion by forest plot using STATA version 18. The heterogeneity of the studies was determined using p = 0.05 for I2 statistics. In addition, sensitivity analyses were performed to examine the stability of pooled values in the presence of outliers. Furthermore, Egger's regression test and funnel plot were performed to check for potential publication bias. A total of 20 studies and a population of 8713 were included in the review. The overall burden of dysmenorrhea among females was 73% (95% CI 68 to 77%), with I2=96.04. Psychological problems (59.9%), poor concentration (42.3%) and absenteeism from the class (41.3%) were the common impacts of dysmenorrhea, and bed rest (54%), use of painkillers (41.5%) and hot drinks (41.3%) were commonly practiced treatments by participants. Around three out of four females experienced dysmenorrhea. Enhancing social support may reduce stress; and behavioral interventions such as mind-body awareness and relaxation training are believed to help decrease the risk of depression by alleviating dysmenorrhea. Both pharmacological and non-pharmacological therapy have played a crucial role in its management. But the literature offers controversial scientific proof, and imply that high-quality trials are needed to make conclusive recommendations for better management methods of dysmenorrhea.",Screen on Title & Abstract,
,,,,,EXCLUDE on population,
130312488,Baecker (2025),Impacts of extreme heat on mental health: systematic review and qualitative investigation of the underpinning mechanisms.,2025,"Introduction: We are living on an increasingly hot planet, with negative impacts for the mental health of affected individuals and communities. A better understanding of the physiological, psychological, behavioral, and social mechanisms which underlie these impacts could inform the development of effective interventions. Here, we conducted a mixed-method study combining a systematic review and qualitative investigation to explore these mechanisms. Methods: Adhering to the PRISMA guidelines, we searched PubMed for publications related to extreme heat, mental health, and mechanisms. Peer-reviewed studies reporting original data on mechanisms explaining the impact of extreme heat on mental health were included. In addition, we conducted six focus groups on extreme heat and mental health with a total of 33 participants (n = 21 people with lived experience, n = 12 healthcare professionals). Transcripts were analyzed using thematic content analysis. Results: Out of 241 articles identified by the literature search, four studies were eligible for inclusion. These provided limited evidence for activation of the hypothalamic-pituitary-adrenal axis, increased psychological stress, reduced exercise, and sleep disruption. The analysis of the focus groups expanded these findings by highlighting additional themes related to physical (e.g., fatigue), psychological (e.g., health anxiety), behavioral (e.g., reduced access to usual coping strategies), and social mechanisms (e.g., social isolation). Conclusion: There is a dearth of reliable data on the mechanisms underpinning the impacts of extreme heat on mental health. Our mixed-method approach identified a range of promising physiological, psychological, behavioral, and social mechanisms, and highlights the importance of including people with lived experience in the conversation.",Screen on Title & Abstract,
,,,,,EXCLUDE on intervention,
130312494,Baker (2025),Targeting mental health and wellbeing in women who have experienced gender-based violence through moderate-vigorous physical activity: a systematic review.,2025,"Background: Gender-based violence (GBV) is associated with high rates of psychopathology (i.e., depression, anxiety, post-traumatic stress disorder) in victim-survivors. Existing research has demonstrated that physical activity is beneficial for mental health and wellbeing across various populations. However, it is currently unclear whether moderate-vigorous physical activity (MVPA) is efficacious for victim-survivors of GBV. Therefore, this systematic review aims to understand (1) the acceptability and feasibility of leisure-time MVPA interventions for victim-survivors of GBV, (2) the efficacy of leisure-time MVPA interventions for mental health and wellbeing in this cohort, and (3) the implementation strategies used in the development of such interventions. Methods: Four databases were searched from inception to January 2024. Leisure-time MVPA intervention studies that reported on at least one measure of mental health or wellbeing for self-identified/biological women who had lived experience of GBV were eligible. Results: Eleven studies met inclusion criteria, and analysis revealed a range of different types of MVPA (n = 5) and mental health/wellbeing outcomes measured (n = 9). The main findings include: (1) feasibility and acceptability of MVPA for victim-survivors was enhanced where trauma and violence-informed (TVI) practices were used in the development and delivery of interventions. (2) There was a lack of clarity and consistency around TVI practice in physical activity intervention research. (3) Leisure-time MVPA may be positively associated with mental health and wellbeing. Conclusion: Limited evidence exists regarding the impact of MVPA on mental health and wellbeing for this important population group. Future studies should embed TVI strategy within the design, delivery, and implementation of interventions.",Screen on Title & Abstract,
,,,,,EXCLUDE on intervention,
