eppi_id,short_title,year,human_decision,note
130337685,"The Effects of Cognitive... (2016)",2016,EXCLUDE,study design
130336735,Aafjes-van (2017),2017,INCLUDE,
130312382,Abajobir (2025),2025,INCLUDE,
130319507,Abate (2025),2025,INCLUDE,
130338975,Abate (2025),2025,INCLUDE,
130323564,Abd-Alrazaq (2022),2022,EXCLUDE,intervention
130325044,Abdalla (2022),2022,INCLUDE,
130315352,Abdel-Maboud (2026),2026,INCLUDE,
130325846,Abdollahpour (2022),2022,INCLUDE,
130316284,Abdul (2026),2026,INCLUDE,
130351148,Abebe (2014),2014,INCLUDE,
130322612,Abebe (2024),2024,INCLUDE,
130341567,Abebe (2025),2025,INCLUDE,
130335548,Abel (2008),2008,INCLUDE,
130354995,Ayoub (2020),2020,INCLUDE,
130343721,Azar (2008),2008,INCLUDE,
130316032,Azeem (2026),2026,INCLUDE,
130319325,Aziz (2025),2025,INCLUDE,
130319856,Azizi (2024),2024,INCLUDE,
130321843,Azuma (2025),2025,INCLUDE,
130377491,Badiya (2021),2021,EXCLUDE,study design
130319075,Badriyah (2025),2025,INCLUDE,
130338536,Badu (2018),2018,INCLUDE,second opinion
130377518,Badu (2021),2021,EXCLUDE,study design
130321062,Bagade (2023),2023,INCLUDE,
130341528,Bagchi (2026),2026,EXCLUDE,wrong-doc-uploaded (protocol); human notes includable
130344136,Baglioni (2011),2011,INCLUDE,
130377460,Bah (2025),2025,INCLUDE,
130326298,Bahji (2021),2021,INCLUDE,
130328085,Bai (2020),2020,INCLUDE,
130340792,Bai (2023),2023,INCLUDE,
130317114,Bai (2026),2026,INCLUDE,
130377408,Bailey (2021),2021,EXCLUDE,intervention
130318612,Bailey (2025),2025,INCLUDE,second opinion
130338122,Baker (2009),2009,EXCLUDE,intervention
130323841,Baker (2021),2021,EXCLUDE,intervention
130319219,Bakhtiari-Dovvombaygi (2025),2025,EXCLUDE,intervention
130313049,Balakrishnan (2022),2022,INCLUDE,
130313578,Balata (2023),2023,INCLUDE,
130315525,Baldini (2025),2025,INCLUDE,
130345340,Ball (2024),2024,INCLUDE,
130319110,Balram (2025),2025,INCLUDE,
130338422,Balslev (1998),1998,EXCLUDE,language/pub-date
130314009,Banerjee (2020),2020,INCLUDE,
130313451,Bangpan (2019),2019,INCLUDE,
130318431,Bankole (2025),2025,EXCLUDE,intervention
130314222,Bansal (2022),2022,EXCLUDE,study design
130320539,Bansema (2024),2024,INCLUDE,
130324472,Banstola (2023),2023,EXCLUDE,intervention
130334164,Banyard (2021),2021,INCLUDE,
130329723,Baranciukas (2026),2026,EXCLUDE,study design
130313131,Baranyi (2021),2021,INCLUDE,
130328000,Barbui (2020),2020,INCLUDE,
130330307,Barbui (2024),2024,INCLUDE,
130323925,Barczyk (2020),2020,EXCLUDE,intervention
130324355,Barello (2023),2023,EXCLUDE,study design
130318539,Jain (2025),2025,INCLUDE,
130322835,Jaiswal (2023),2023,INCLUDE,
130342371,Jakobsen (2011),2011,INCLUDE,
130336190,Jalali (2026),2026,INCLUDE,
130313479,James (2019),2019,EXCLUDE,population
130324026,James (2020),2020,INCLUDE,
130345244,James (2021),2021,EXCLUDE,study design
130314206,James (2022),2022,EXCLUDE,study design
130328993,James-Hawkins (2019),2019,EXCLUDE,population
130328666,Jamieson (2019),2019,EXCLUDE,study design
130313307,Jandaghi (2020),2020,EXCLUDE,intervention
130346770,Jane (2012),2012,INCLUDE,
130335723,Jane (2015),2015,EXCLUDE,intervention
130322861,Jang (2023),2023,EXCLUDE,intervention
130316157,Jang (2026),2026,EXCLUDE,study design
