record_id,action,eligibility_concern
130312279,drop,Intervention is physical activity not psychological intervention
130312308,drop,No intervention - determinants/measurement study
130312457,drop,"Population is COVID-19 bereaved adults, not depression/CMD; no psychological intervention reported"
130312622,drop,No psychological intervention described; focuses on literacy as determinant not intervention
130312939,drop,Review focuses on tornadoes not depression interventions
130312982,drop,Population not adult depression/CMD - focuses on emergency department personnel PTSD/anxiety
130313167,drop,"Review focuses on COVID-19 stigmatization, not depression treatment interventions"
130313246,keep,Population not adult depression/CMD - focuses on LGBQ+ self-acceptance rather than depression
130313258,drop,"Focus on cannabis use disorder comorbidity, not psychological intervention for depression"
130313308,keep,Population not adult depression/CMD - healthcare workers without depression diagnosis
130313310,keep,No psychological intervention reported - prevalence study only
130313542,drop,Not focused on depression-specific interventions or outcomes
130313558,keep,Cross-sectional design not intervention study
130313559,drop,Population diabetes patients not depression/CMD; determinants study may be eligible for RQ1
130313599,drop,"No psychological intervention reported, focuses on cognitive assessment"
130313613,drop,Population not adult depression/CMD - construction workers with general mental health problems
130313867,keep,Population not adult depression/CMD - focuses on FGM/C outcomes
130314066,keep,"No psychological intervention reported, determinants study only"
130315876,keep,No psychological intervention described - determinants/measurement study only
130316040,keep,Population not adult depression/CMD - breast cancer patients with depression as outcome
130317124,keep,No psychological intervention described - prevalence study only
130317438,keep,"Population is TBI patients, not depression/CMD; no psychological intervention"
130317453,drop,No psychological intervention described - determinants/measurement focus
130317558,drop,"Population stroke survivors, not adult depression/CMD; no psychological intervention"
130317844,drop,Review focuses on disclosure decisions rather than depression treatment interventions
130317871,keep,No psychological intervention - observational study of occupational physical activity
130318102,drop,Focus on suicidal ideation rather than depression symptoms as primary outcome
130318143,drop,"Population is stroke patients, not adult depression/CMD; no psychological intervention described"
130318452,drop,"Population perinatal women, outcome sleep not depression"
130319259,drop,Population not adult depression/CMD - caregivers of children with autism
130319295,keep,No psychological intervention - determinants study only
130319869,drop,No psychological intervention - determinants study examining violent victimisation as risk factor
130319911,keep,No psychological intervention - observational study of sedentary behavior
130320177,keep,Population not adult depression/CMD - focuses on children and families affected by migration policies
130320393,keep,Population not adult depression/CMD - focuses on shift workers not depression
130320404,drop,Focus on screening barriers not depression intervention effectiveness
130320524,keep,"Population is older adults with cancer, not depression/CMD as primary condition"
130321380,drop,No psychological intervention - observational study of menopausal transition as risk factor
130321912,drop,Population not adult depression/CMD - focuses on general athlete mental health rather than depression specifically
130322250,keep,No psychological intervention described - prevalence study only
130322581,keep,No intervention - observational network analysis study
130322661,drop,Population not adult depression/CMD - factitious disorder patients
130322935,drop,Population bereaved families not adult depression/CMD
130323613,keep,No psychological intervention described - exposure to COVID-19 not intervention
130323703,drop,"Population is stroke patients, not adult depression/CMD"
130323755,drop,Population not adult depression/CMD - healthcare workers psychological impact
130323923,drop,"No psychological intervention described, observational study of healthcare worker mental health"
130323946,keep,"Review focuses on healthcare workers, not adult depression patients receiving psychological interventions"
130324312,keep,No psychological intervention described - determinants review only
130324966,keep,Population not adult depression/CMD - caregivers of cancer patients
130326074,keep,No psychological intervention - retirement is life transition not intervention
130326391,keep,"Population mixed adult+adolescent college students, no adult-only subgroup reported"
130327033,keep,No psychological intervention described - prevalence study only
